first_name,last_name,date_of_birth,above_18,Membership_ID
Teresa,Sanchez,20050512,True,Sanchez_f1b67
Robert,Davis,19980710,True,Davis_8ad1c
Terry,MoralesII,19700606,True,MoralesII_e44e2
Jason,SpencerDVM,19810722,True,SpencerDVM_24335
Jeffery,Haas,19760620,True,Haas_39a40
John,Allen,19810425,True,Allen_a197b
Matthew,LeblancDDS,19980703,True,LeblancDDS_85230
Jessica,Harper,19750316,True,Harper_9bf4d
Bruce,SinghDDS,19790611,True,SinghDDS_d92ec
Alex,Pratt,19800708,True,Pratt_fef24
Miss,KarenRamirezDVM,20041026,True,KarenRamirezDVM_004dd
Aaron,BarrettJr,19980917,True,BarrettJr_57096
Keith,King,20020602,True,King_b8d45
Alexandra,BarnettII,19800525,True,BarnettII_67208
Kenneth,Estrada,19990428,True,Estrada_72f3d
Paul,Watson,19890308,True,Watson_d8b96
Rebecca,Oconnor,19800218,True,Oconnor_8470b
Robert,Johnson,19920615,True,Johnson_8b62d
Robert,Randall,20000213,True,Randall_aabae
Mary,Shaffer,19981019,True,Shaffer_582f0
Jennifer,Camacho,19761207,True,Camacho_706da
Julia,SilvaIII,20001108,True,SilvaIII_62176
Debbie,Guerra,19990408,True,Guerra_ad90a
Joy,Hill,19730706,True,Hill_5c4d8
Paul,HoltIII,20010818,True,HoltIII_6355a
Angela,StrongDDS,19900520,True,StrongDDS_3a2d2
Charles,Austin,20000719,True,Austin_b2ef4
Miss,SarahWalker,19860323,True,SarahWalker_36437
Traci,Williams,19760108,True,Williams_f9b0c
Joe,Montgomery,20000107,True,Montgomery_48ba3
Lisa,Berry,19970502,True,Berry_7f832
John,NashDDS,19740531,True,NashDDS_17f5d
Melissa,Kelley,19850110,True,Kelley_62bfc
Heather,Joseph,19950420,True,Joseph_93ba2
Michelle,MillerII,19861008,True,MillerII_b2815
Jennifer,PughDVM,19970818,True,PughDVM_d3922
Thomas,Bullock,19760323,True,Bullock_39010
Johnathan,Medina,19781106,True,Medina_fa2d3
Patrick,Torres,20050727,True,Torres_1aeca
Andrew,Shepard,19851201,True,Shepard_aeca1
Jacob,Brown,19990317,True,Brown_172df
Larry,RobertsonDVM,20031019,True,RobertsonDVM_40c08
Robert,ThompsonDVM,19951201,True,ThompsonDVM_cb2fb
Charles,Robles,20011027,True,Robles_9b0d6
David,KleinDDS,19910622,True,KleinDDS_67f27
Bryan,ReyesMD,19801107,True,ReyesMD_24012
Mario,FrankII,20010402,True,FrankII_cb0da
Zachary,Jones,19750406,True,Jones_21c49
Miss,RaymondColeman,19761230,True,RaymondColeman_98492
Audrey,Pearson,19770502,True,Pearson_9ee6e
Ryan,Nixon,19870410,True,Nixon_aa7ee
Morgan,Summers,19760115,True,Summers_dabff
Miss,MiguelHarrisDDS,19931031,True,MiguelHarrisDDS_a7b22
Jennifer,Brown,20010319,True,Brown_3d3ce
Gary,Ellis,19930228,True,Ellis_ec86a
Brittney,Johnson,19750518,True,Johnson_5b18f
Jeffrey,HayesIII,19791002,True,HayesIII_d44c6
Miss,JohnReid,19951121,True,JohnReid_396f9
Abigail,Gonzalez,19900323,True,Gonzalez_2360e
William,GutierrezDDS,19750805,True,GutierrezDDS_c8f4f
Daniel,Sanchez,20040422,True,Sanchez_00b6e
Adam,Clark,19750308,True,Clark_398d8
Michael,Wilson,20050723,True,Wilson_cd5d6
Stephen,Quinn,19711129,True,Quinn_08e1d
Gregory,MayerII,19761115,True,MayerII_de563
Brian,JimenezDVM,20050710,True,JimenezDVM_8ed7a
Erik,Jones,19700726,True,Jones_b417a
Kathryn,BlackMD,19960505,True,BlackMD_96eac
Mark,WoodPhDIII,19700318,True,WoodPhDIII_70717
Shannon,Taylor,19770812,True,Taylor_cefba
Kirsten,Morrison,19941026,True,Morrison_8caea
Tracy,MooreMD,19920117,True,MooreMD_37340
Anthony,DavidJr,20040111,True,DavidJr_4bfaa
Madeline,Carlson,19950520,True,Carlson_7fd69
Shelly,Stanley,19830720,True,Stanley_ee5de
Michelle,Holden,19741119,True,Holden_d3043
Ivan,Giles,19801114,True,Giles_25d6f
Anthony,Flores,19730922,True,Flores_431df
Cynthia,ParksII,19880606,True,ParksII_28a00
Mark,Stone,19900414,True,Stone_05429
