first_name,last_name,date_of_birth,above_18,Membership_ID
John,HermanPhD,19880713,True,HermanPhD_281d0
Kristy,LePhD,19830220,True,LePhD_9417d
Marc,RiceDVM,20041004,True,RiceDVM_bd99c
Nathan,Potter,19961023,True,Potter_c2981
Lisa,Rocha,19910522,True,Rocha_98604
Latoya,WilsonDDS,19920126,True,WilsonDDS_37038
Charles,Glover,19710419,True,Glover_7231c
Shelby,Mcclain,19910616,True,Mcclain_748a2
Theresa,Thompson,19800802,True,Thompson_04bd4
Melanie,EllisPhD,19860417,True,EllisPhD_0c26d
Alisha,ReidPhD,19790303,True,ReidPhD_0c070
Cheryl,TaylorII,20050725,True,TaylorII_b3fbc
Louis,Neal,19880511,True,Neal_6510f
Daniel,BooneIIDVM,19760815,True,BooneIIDVM_de274
Amanda,Garza,20000823,True,Garza_f38e2
Laura,WaltersMD,19980120,True,WaltersMD_3770a
Tyler,GilmoreIII,19810210,True,GilmoreIII_c141f
Laura,SpencerII,19850815,True,SpencerII_d62fd
Susan,Carroll,19770908,True,Carroll_55f05
Jasmine,Adkins,19891209,True,Adkins_f7047
Miguel,Gallagher,19890623,True,Gallagher_e99f3
Jessica,Johnson,19830704,True,Johnson_148cd
Patricia,Stephenson,19710601,True,Stephenson_6b1c3
Barbara,Clarke,19841109,True,Clarke_f44cb
Miss,EricWarrenPhD,20041222,True,EricWarrenPhD_b8a5f
Daniel,WilsonDVMDDS,20040422,True,WilsonDVMDDS_00b6e
Gabriella,MooreJr,19700701,True,MooreJr_bd5d9
Maria,Haas,19861225,True,Haas_63d67
Angela,Nichols,19751222,True,Nichols_777f9
Veronica,KingII,19930330,True,KingII_9569c
Erin,VargasPhD,19770601,True,VargasPhD_9a60c
Teresa,Bennett,19910801,True,Bennett_3b071
Nicole,JordanDVM,19730215,True,JordanDVM_16403
Troy,Keith,19701026,True,Keith_6d1f3
Miss,JohnWalker,19820728,True,JohnWalker_cdf38
Rachel,PhillipsDDS,20000910,True,PhillipsDDS_9f156
Alyssa,Christian,19990921,True,Christian_8ce40
Julie,Fuller,19770517,True,Fuller_cd4fa
Michelle,Jones,20021110,True,Jones_1610d
Danielle,Parks,19960728,True,Parks_49d1b
Michael,Mccann,19840405,True,Mccann_e2962
Hannah,Newton,19830711,True,Newton_4987d
John,PinedaIII,19901119,True,PinedaIII_82d09
Michael,Mccarthy,20030509,True,Mccarthy_637d9
Valerie,Jacobson,19860324,True,Jacobson_3fc93
Sandra,Jackson,19831026,True,Jackson_9a2ab
Miss,JocelynPadilla,20011228,True,JocelynPadilla_6fe46
Margaret,Hubbard,20041112,True,Hubbard_3fc0c
Robert,MorrisonPhD,19760521,True,MorrisonPhD_fae9d
Cathy,Sanders,19920124,True,Sanders_b5053
Carla,Dunn,19940504,True,Dunn_99b18
Kimberly,Cantu,19890329,True,Cantu_b3079
Sarah,Williams,19900126,True,Williams_65326
Richard,AndrewsJr,20050525,True,AndrewsJr_acbb5
Christine,Hudson,19720212,True,Hudson_85147
Logan,SwansonPhD,20010307,True,SwansonPhD_99f0e
Kendra,Johnson,19840811,True,Johnson_e1e62
Vanessa,Wright,19970610,True,Wright_5069d
Amy,Weaver,19880922,True,Weaver_f1102
Sandy,Castillo,19940717,True,Castillo_21816
Nicholas,ReedMD,19951101,True,ReedMD_43d91
William,Williams,19700314,True,Williams_69c15
Carrie,Munoz,19770113,True,Munoz_00ac3
